Dates,v,s
6/30/1998,1.7,CPI YOY Index
7/31/1998,1.7,CPI YOY Index
8/31/1998,1.6,CPI YOY Index
9/30/1998,1.5,CPI YOY Index
10/31/1998,1.5,CPI YOY Index
11/30/1998,1.5,CPI YOY Index
12/31/1998,1.6,CPI YOY Index
1/31/1999,1.7,CPI YOY Index
2/28/1999,1.6,CPI YOY Index
3/31/1999,1.7,CPI YOY Index
4/30/1999,2.3,CPI YOY Index
5/31/1999,2.1,CPI YOY Index
6/30/1999,2,CPI YOY Index
7/31/1999,2.1,CPI YOY Index
8/31/1999,2.3,CPI YOY Index
9/30/1999,2.6,CPI YOY Index
10/31/1999,2.6,CPI YOY Index
11/30/1999,2.6,CPI YOY Index
12/31/1999,2.7,CPI YOY Index
1/31/2000,2.7,CPI YOY Index
2/29/2000,3.2,CPI YOY Index
3/31/2000,3.8,CPI YOY Index
4/30/2000,3.1,CPI YOY Index
5/31/2000,3.2,CPI YOY Index
6/30/2000,3.7,CPI YOY Index
7/31/2000,3.7,CPI YOY Index
8/31/2000,3.4,CPI YOY Index
9/30/2000,3.5,CPI YOY Index
10/31/2000,3.4,CPI YOY Index
11/30/2000,3.4,CPI YOY Index
12/31/2000,3.4,CPI YOY Index
1/31/2001,3.7,CPI YOY Index
2/28/2001,3.5,CPI YOY Index
3/31/2001,2.9,CPI YOY Index
4/30/2001,3.3,CPI YOY Index
5/31/2001,3.6,CPI YOY Index
6/30/2001,3.2,CPI YOY Index
7/31/2001,2.7,CPI YOY Index
8/31/2001,2.7,CPI YOY Index
9/30/2001,2.6,CPI YOY Index
10/31/2001,2.1,CPI YOY Index
11/30/2001,1.9,CPI YOY Index
12/31/2001,1.6,CPI YOY Index
1/31/2002,1.1,CPI YOY Index
2/28/2002,1.1,CPI YOY Index
3/31/2002,1.5,CPI YOY Index
4/30/2002,1.6,CPI YOY Index
5/31/2002,1.2,CPI YOY Index
6/30/2002,1.1,CPI YOY Index
7/31/2002,1.5,CPI YOY Index
8/31/2002,1.8,CPI YOY Index
9/30/2002,1.5,CPI YOY Index
10/31/2002,2,CPI YOY Index
11/30/2002,2.2,CPI YOY Index
12/31/2002,2.4,CPI YOY Index
1/31/2003,2.6,CPI YOY Index
2/28/2003,3,CPI YOY Index
3/31/2003,3,CPI YOY Index
4/30/2003,2.2,CPI YOY Index
5/31/2003,2.1,CPI YOY Index
6/30/2003,2.1,CPI YOY Index
7/31/2003,2.1,CPI YOY Index
8/31/2003,2.2,CPI YOY Index
9/30/2003,2.3,CPI YOY Index
10/31/2003,2,CPI YOY Index
11/30/2003,1.8,CPI YOY Index
12/31/2003,1.9,CPI YOY Index
1/31/2004,1.9,CPI YOY Index
2/29/2004,1.7,CPI YOY Index
3/31/2004,1.7,CPI YOY Index
4/30/2004,2.3,CPI YOY Index
5/31/2004,3.1,CPI YOY Index
6/30/2004,3.3,CPI YOY Index
7/31/2004,3,CPI YOY Index
8/31/2004,2.7,CPI YOY Index
9/30/2004,2.5,CPI YOY Index
10/31/2004,3.2,CPI YOY Index
11/30/2004,3.5,CPI YOY Index
12/31/2004,3.3,CPI YOY Index
1/31/2005,3,CPI YOY Index
2/28/2005,3,CPI YOY Index
3/31/2005,3.1,CPI YOY Index
4/30/2005,3.5,CPI YOY Index
5/31/2005,2.8,CPI YOY Index
6/30/2005,2.5,CPI YOY Index
7/31/2005,3.2,CPI YOY Index
8/31/2005,3.6,CPI YOY Index
9/30/2005,4.7,CPI YOY Index
10/31/2005,4.3,CPI YOY Index
11/30/2005,3.5,CPI YOY Index
12/31/2005,3.4,CPI YOY Index
1/31/2006,4,CPI YOY Index
2/28/2006,3.6,CPI YOY Index
3/31/2006,3.4,CPI YOY Index
4/30/2006,3.5,CPI YOY Index
5/31/2006,4.2,CPI YOY Index
6/30/2006,4.3,CPI YOY Index
7/31/2006,4.1,CPI YOY Index
8/31/2006,3.8,CPI YOY Index
9/30/2006,2.1,CPI YOY Index
10/31/2006,1.3,CPI YOY Index
11/30/2006,2,CPI YOY Index
12/31/2006,2.5,CPI YOY Index
1/31/2007,2.1,CPI YOY Index
2/28/2007,2.4,CPI YOY Index
3/31/2007,2.8,CPI YOY Index
4/30/2007,2.6,CPI YOY Index
5/31/2007,2.7,CPI YOY Index
6/30/2007,2.7,CPI YOY Index
7/31/2007,2.4,CPI YOY Index
8/31/2007,2,CPI YOY Index
9/30/2007,2.8,CPI YOY Index
10/31/2007,3.5,CPI YOY Index
11/30/2007,4.3,CPI YOY Index
12/31/2007,4.1,CPI YOY Index
1/31/2008,4.3,CPI YOY Index
2/29/2008,4,CPI YOY Index
3/31/2008,4,CPI YOY Index
4/30/2008,3.9,CPI YOY Index
5/31/2008,4.2,CPI YOY Index
6/30/2008,5,CPI YOY Index
7/31/2008,5.6,CPI YOY Index
8/31/2008,5.4,CPI YOY Index
9/30/2008,4.9,CPI YOY Index
10/31/2008,3.7,CPI YOY Index
11/30/2008,1.1,CPI YOY Index
12/31/2008,0.1,CPI YOY Index
1/31/2009,0,CPI YOY Index
2/28/2009,0.2,CPI YOY Index
3/31/2009,-0.4,CPI YOY Index
4/30/2009,-0.7,CPI YOY Index
5/31/2009,-1.3,CPI YOY Index
6/30/2009,-1.4,CPI YOY Index
7/31/2009,-2.1,CPI YOY Index
8/31/2009,-1.5,CPI YOY Index
9/30/2009,-1.3,CPI YOY Index
10/31/2009,-0.2,CPI YOY Index
11/30/2009,1.8,CPI YOY Index
12/31/2009,2.7,CPI YOY Index
1/31/2010,2.6,CPI YOY Index
2/28/2010,2.1,CPI YOY Index
3/31/2010,2.3,CPI YOY Index
4/30/2010,2.2,CPI YOY Index
5/31/2010,2,CPI YOY Index
6/30/2010,1.1,CPI YOY Index
7/31/2010,1.2,CPI YOY Index
8/31/2010,1.1,CPI YOY Index
9/30/2010,1.1,CPI YOY Index
10/31/2010,1.2,CPI YOY Index
11/30/2010,1.1,CPI YOY Index
12/31/2010,1.5,CPI YOY Index
1/31/2011,1.6,CPI YOY Index
2/28/2011,2.1,CPI YOY Index
3/31/2011,2.7,CPI YOY Index
4/30/2011,3.2,CPI YOY Index
5/31/2011,3.6,CPI YOY Index
6/30/2011,3.6,CPI YOY Index
7/31/2011,3.6,CPI YOY Index
8/31/2011,3.8,CPI YOY Index
9/30/2011,3.9,CPI YOY Index
10/31/2011,3.5,CPI YOY Index
11/30/2011,3.4,CPI YOY Index
12/31/2011,3,CPI YOY Index
1/31/2012,2.9,CPI YOY Index
2/29/2012,2.9,CPI YOY Index
3/31/2012,2.7,CPI YOY Index
4/30/2012,2.3,CPI YOY Index
5/31/2012,1.7,CPI YOY Index
6/30/2012,1.7,CPI YOY Index
7/31/2012,1.4,CPI YOY Index
8/31/2012,1.7,CPI YOY Index
9/30/2012,2,CPI YOY Index
10/31/2012,2.2,CPI YOY Index
11/30/2012,1.8,CPI YOY Index
12/31/2012,1.7,CPI YOY Index
1/31/2013,1.6,CPI YOY Index
2/28/2013,2,CPI YOY Index
3/31/2013,1.5,CPI YOY Index
4/30/2013,1.1,CPI YOY Index
5/31/2013,1.4,CPI YOY Index
6/30/2013,1.8,CPI YOY Index
7/31/2013,2,CPI YOY Index
8/31/2013,1.5,CPI YOY Index
9/30/2013,1.2,CPI YOY Index
10/31/2013,1,CPI YOY Index
11/30/2013,1.2,CPI YOY Index
12/31/2013,1.5,CPI YOY Index
1/31/2014,1.6,CPI YOY Index
2/28/2014,1.1,CPI YOY Index
3/31/2014,1.5,CPI YOY Index
4/30/2014,2,CPI YOY Index
5/31/2014,2.1,CPI YOY Index
6/30/2014,2.1,CPI YOY Index
7/31/2014,2,CPI YOY Index
8/31/2014,1.7,CPI YOY Index
9/30/2014,1.7,CPI YOY Index
10/31/2014,1.7,CPI YOY Index
11/30/2014,1.3,CPI YOY Index
12/31/2014,0.8,CPI YOY Index
1/31/2015,-0.1,CPI YOY Index
2/28/2015,0,CPI YOY Index
3/31/2015,-0.1,CPI YOY Index
4/30/2015,-0.2,CPI YOY Index
5/31/2015,0,CPI YOY Index
6/30/2015,0.1,CPI YOY Index
7/31/2015,0.2,CPI YOY Index
8/31/2015,0.2,CPI YOY Index
9/30/2015,0,CPI YOY Index
10/31/2015,0.2,CPI YOY Index
11/30/2015,0.5,CPI YOY Index
12/31/2015,0.7,CPI YOY Index
